sep=,
Steam Sales data for Sauropod Studio: 2016-12-22 - 2017-01-21

Date,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,ES,Spain,Western Europe,3,0,3,19.99,16.99,EUR,53.0317,0.0000,-9.2080,43.8237,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,FI,Finland,Western Europe,1,0,1,19.99,16.99,EUR,17.8870,0.0000,-3.4637,14.4233,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,FR,France,Western Europe,3,0,3,19.99,16.99,EUR,52.8950,0.0000,-8.8107,44.0843,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,GB,United Kingdom,Western Europe,12,0,12,14.99,12.74,GBP,187.3436,0.0000,-31.1748,156.1688,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,HU,Hungary,Eastern Europe,3,1,2,19.99,16.99,EUR,53.2200,17.7000,-7.5472,27.9728,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,IT,Italy,Western Europe,2,0,2,19.99,16.99,EUR,35.4200,0.0000,-6.3794,29.0406,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,JP,Japan,Asia,2,0,2,1980.00,1683.00,JPY,28.6071,0.0000,0.0000,28.6071,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,LU,Luxembourg,Western Europe,1,0,1,19.99,16.99,EUR,17.8864,0.0000,-2.6003,15.2861,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,NL,Netherlands,Western Europe,5,0,5,19.99,16.99,EUR,88.3175,0.0000,-15.3348,72.9827,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,NO,Norway,Western Europe,2,0,2,140.00,119.00,NOK,27.4979,0.0000,0.0000,27.4979,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,NZ,New Zealand,Oceania,1,0,1,23.99,20.39,NZD,14.0473,0.0000,0.0000,14.0473,
2016-12-23,26276,Castle Story,Retail,Castle Story,Windows,PL,Poland,Eastern Europe,2,0,2,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,PL,Poland,Eastern Europe,11,1,10,19.99,16.99,EUR,195.3341,17.7200,-33.2440,144.3701,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,RU,Russian Federation,Russian Territories,6,1,5,419.00,356.00,RUB,35.1573,5.8500,0.0000,29.3073,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,SE,Sweden,Western Europe,2,0,2,19.99,16.99,EUR,35.5166,0.0000,-7.1075,28.4091,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,TR,Turkey,Middle East,1,0,1,31.00,26.35,TRY,7.5100,0.0000,0.0000,7.5100,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,TW,Taiwan,Asia,1,0,1,468.00,397.00,TWD,12.3600,0.0000,0.0000,12.3600,
2016-12-23,26276,Castle Story,Retail,Castle Story,Windows,US,United States,North America,2,0,2,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,US,United States,North America,35,3,32,19.99,16.99,USD,601.1600,50.9700,-6.5100,543.6800,
2016-12-23,26276,Castle Story,Steam,Castle Story,Windows,US,United States,North America,0,1,-1,19.99,19.99,USD,0.0000,19.9900,0.0000,-19.9900,
2016-12-23,26276,Castle Story,Retail,Castle Story,Mac,AU,Australia,Oceania,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-23,26276,Castle Story,Steam,Castle Story,Mac,CH,Switzerland,Western Europe,1,0,1,19.00,16.15,CHF,15.7500,0.0000,0.0000,15.7500,
2016-12-23,26276,Castle Story,Steam,Castle Story,Mac,DE,Germany,Western Europe,1,0,1,19.99,16.99,EUR,17.7200,0.0000,-2.8264,14.8936,
2016-12-23,26276,Castle Story,Steam,Castle Story,Mac,NL,Netherlands,Western Europe,1,0,1,19.99,16.99,EUR,17.7000,0.0000,-3.0733,14.6267,
2016-12-23,26276,Castle Story,Steam,Castle Story,Mac,SE,Sweden,Western Europe,1,0,1,19.99,16.99,EUR,17.6300,0.0000,-3.5281,14.1019,
2016-12-23,26276,Castle Story,Retail,Castle Story,Mac,US,United States,North America,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Humble Bundle
2016-12-23,26276,Castle Story,Steam,Castle Story,Mac,US,United States,North America,2,0,2,19.99,16.99,USD,33.9800,0.0000,0.0000,33.9800,
2016-12-23,26276,Castle Story,Steam,Castle Story,Linux,BR,Brazil,Latin America,1,0,1,36.99,31.44,BRL,9.7400,0.0000,0.0000,9.7400,
2016-12-23,26276,Castle Story,Steam,Castle Story,Linux,CZ,Czech Republic,Eastern Europe,1,0,1,19.99,16.99,EUR,17.7058,0.0000,-3.0743,14.6315,
2016-12-23,26276,Castle Story,Steam,Castle Story,Linux,DE,Germany,Western Europe,1,0,1,19.99,16.99,EUR,17.6999,0.0000,-2.8232,14.8767,
2016-12-23,26276,Castle Story,Steam,Castle Story,Linux,FR,France,Western Europe,1,0,1,19.99,16.99,EUR,17.6300,0.0000,-2.9366,14.6934,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,AR,Argentina,Latin America,0,1,-1,19.99,16.99,USD,0.0000,16.9900,0.0000,-16.9900,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,AT,Austria,Western Europe,1,0,1,19.99,16.99,EUR,17.7572,0.0000,-2.9578,14.7994,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,AU,Australia,Oceania,3,0,3,19.99,16.99,USD,50.9700,0.0000,0.0000,50.9700,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,BG,Bulgaria,Eastern Europe,1,0,1,19.99,16.99,EUR,17.7200,0.0000,-2.9516,14.7684,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,BR,Brazil,Latin America,10,0,10,36.99,31.44,BRL,95.8434,0.0000,0.0000,95.8434,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,BR,Brazil,Latin America,0,1,-1,36.99,36.99,BRL,0.0000,11.1200,0.0000,-11.1200,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,BY,Belarus,Russian Territories,1,0,1,12.59,10.70,USD,10.7000,0.0000,0.0000,10.7000,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,CA,Canada,North America,2,0,2,21.99,18.69,CAD,27.6401,0.0000,0.0000,27.6401,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,CH,Switzerland,Western Europe,2,0,2,19.00,16.15,CHF,31.3939,0.0000,0.0000,31.3939,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,CN,China,Asia,1,0,1,68.00,57.00,CNY,8.2100,0.0000,0.0000,8.2100,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,CZ,Czech Republic,Eastern Europe,3,0,3,19.99,16.99,EUR,52.9891,0.0000,-9.2005,43.7886,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,DE,Germany,Western Europe,6,1,5,19.99,16.99,EUR,106.2156,17.6999,-14.1187,74.3970,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,ES,Spain,Western Europe,1,0,1,19.99,16.99,EUR,17.7000,0.0000,-3.0733,14.6267,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,FI,Finland,Western Europe,2,0,2,19.99,16.99,EUR,35.4437,0.0000,-6.8635,28.5802,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,FO,Faroe Islands,Western Europe,1,1,0,19.99,16.99,EUR,17.7200,17.7000,0.0000,0.0200,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,FR,France,Western Europe,7,0,7,19.99,16.99,EUR,124.1419,0.0000,-20.6782,103.4637,
2016-12-24,26276,Castle Story,Retail,Castle Story,Windows,GB,United Kingdom,Western Europe,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,GB,United Kingdom,Western Europe,7,0,7,14.99,12.74,GBP,109.3886,0.0000,-18.2027,91.1859,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,GR,Greece,Eastern Europe,1,0,1,19.99,16.99,EUR,17.7000,0.0000,-3.4275,14.2725,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,IT,Italy,Western Europe,1,0,1,19.99,16.99,EUR,17.7200,0.0000,-3.1915,14.5285,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,NL,Netherlands,Western Europe,4,0,4,19.99,16.99,EUR,70.7000,0.0000,-12.2758,58.4242,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,NO,Norway,Western Europe,3,0,3,140.00,119.00,NOK,40.9500,0.0000,0.0000,40.9500,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,NZ,New Zealand,Oceania,1,0,1,23.99,20.39,NZD,14.0500,0.0000,0.0000,14.0500,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,PH,Philippines,South East Asia,1,0,1,499.95,424.95,PHP,8.5300,0.0000,0.0000,8.5300,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,PL,Poland,Eastern Europe,9,1,8,19.99,16.99,EUR,159.9928,17.7000,-26.6328,115.6600,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,RU,Russian Federation,Russian Territories,10,0,10,419.00,356.00,RUB,58.6189,0.0000,0.0000,58.6189,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,SE,Sweden,Western Europe,5,0,5,19.99,16.99,EUR,89.0168,0.0000,-17.8139,71.2029,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,SG,Singapore,South East Asia,1,0,1,20.00,17.00,SGD,11.7600,0.0000,0.0000,11.7600,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,SI,Slovenia,Eastern Europe,1,0,1,19.99,16.99,EUR,17.7000,0.0000,-3.1879,14.5121,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,SK,Slovakia (Slovak Republic),Eastern Europe,1,0,1,19.99,16.99,EUR,17.7000,0.0000,-2.9483,14.7517,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,TR,Turkey,Middle East,1,0,1,31.00,26.35,TRY,7.3600,0.0000,0.0000,7.3600,
2016-12-24,26276,Castle Story,Steam,Castle Story,Windows,US,United States,North America,37,0,37,19.99,16.99,USD,635.1700,0.0000,-6.5400,628.6300,
